X	Y	Potencial
21	13	1.087
22	13	1.087
23	13	1.234
24	13	1.234
25	13	1.234
26	13	1.234
27	13	1.345
28	13	1.345
0	14	1.192
1	14	0.989
2	14	0.989
3	14	0.989
4	14	0.989
5	14	0.83
6	14	0.83
7	14	0.83
8	14	0.83
9	14	0.83
10	14	0.785
11	14	0.785
12	14	0.785
13	14	0.785
14	14	0.775
15	14	0.775
16	14	0.775
17	14	0.775
18	14	0.775
19	14	0.732
20	14	0.732
21	14	0.732
22	14	0.732
23	14	0.754
24	14	0.754
25	14	0.754
26	14	0.754
27	14	0.754
28	14	0.829
0	15	0.511
1	15	0.511
2	15	0.515
3	15	0.515
4	15	0.515
5	15	0.515
6	15	0.501
7	15	0.501
8	15	0.501
9	15	0.501
10	15	0.506
11	15	0.506
12	15	0.506
13	15	0.508
14	15	0.508
15	15	0.508
16	15	0.508
17	15	0.523
18	15	0.523
19	15	0.523
20	15	0.554
21	15	0.559
22	15	0.71
23	15	0.71
24	15	0.71
25	15	0.71
26	15	1.028
27	15	1.028
28	15	1.028
13	0	4.31299999999999
13	1	4.261
13	2	4.261
13	3	4.025
13	4	4.025
13	5	3.665
13	6	3.209
13	7	3.209
13	8	3.209
13	9	2.813
13	10	2.813
13	11	2.286
13	12	1.866
13	13	1.55899999999999
13	14	1.329
13	15	1.329
13	16	0.897
13	17	0.897
